src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.1.172,224.0.0.251,5353,5353,17,2025-06-22 12:44:05,97.281987,9.333690932937051,0.04111758120236586,0.04111758120236586,0.0,4,0,908,0,263,191,227.0,36.0,0,0,0,0.0,263,191,227.0,36.0,1296.0,32,0,8,4,32.42732900000001,96.666109,0.205848,45.423753437224015,97.28198700000002,96.666109,0.205848,32.42732900000001,45.423753437224015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,227.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227.0,0,0,4,0,908,0
192.168.1.192,34.148.186.149,54834,5938,6,2025-06-22 12:44:40,90.775526,67161.68188328647,205.0222215181656,116.99188611696945,88.03033540119614,10620,7991,5246820,849817,1474,66,494.0508474576271,542.285423083394,14450,66,106.34676511074959,231.5178926469343,14450,66,327.58245123851486,477.12726484306165,227650.42685662108,212400,159820,20,8876,0.004877690381515314,0.772254,-0.000225,0.017982891527315064,90.77552600000027,0.772276,3e-06,0.008548406252942838,0.024901790180532325,90.66221099999967,0.772277,0.0,0.011346960075093867,0.02887240644171269,6858,4211,0,0,0,0,0,11069,18611,0,0,0.7524482109227872,327.58245123851486,5483,3930,0,0,0,0,0,0,0,0,5200.830188679245,8.068733153638814,680.8235294117648,5.93048128342246,635405.8388927683409488962277,6836.565730029489046265948711,494.0508474576271,106.34676511074959,0,10620,7991,5246820,849817
34.148.186.149,192.168.1.192,5938,53207,17,2025-06-22 12:44:40,90.741567,5059.95229286706,20.718178693123075,1.7632492504785595,18.954929442644517,160,1720,65248,393900,1434,58,407.8,592.5956125386012,506,58,229.01162790697674,53.39105277061475,1434,58,244.22765957446808,187.03928157467138,34983.69285196921,1280,13760,8,160,0.048292478445981904,0.069775,0.0,0.01781238708901408,90.003527,1.002617,0.0,0.5660599182389937,0.43038762976705397,90.73246700000017,0.069775,1.9e-05,0.0527821215823153,0.013176406106411848,0,0,0,0,0,0,0,0,0,0,0,10.75,244.22765957446808,0,0,0,0,0,0,0,0,0,0,27840.0,20.0,2820.566371681416,15.061946902654867,4688842.105263157894736842105,3795.882414871211727833692131,407.8,229.01162790697674,0,160,1720,65248,393900
192.168.1.200,255.255.255.255,53237,6667,17,2025-06-22 12:44:45,99.943687,42.8241155441864,0.20011268945881494,0.20011268945881494,0.0,20,0,4280,0,214,214,214.0,0.0,0,0,0,0.0,214,214,214.0,0.0,0.0,160,0,8,20,5.2601940526315785,10.034888,4.9115,1.1296288868791553,99.943687,10.034888,4.9115,5.2601940526315785,1.1296288868791553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,214.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214.0,0,0,20,0,4280,0
192.168.1.215,255.255.255.255,49154,6667,17,2025-06-22 12:44:54,94.823628,48.51111581598629,0.2109178948521143,0.2109178948521143,0.0,20,0,4600,0,230,230,230.0,0.0,0,0,0,0.0,230,230,230.0,0.0,0.0,160,0,8,20,4.990717263157895,5.120771,4.914896,0.09859121803788572,94.82362799999999,5.120771,4.914896,4.990717263157895,0.09859121803788572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,230.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230.0,0,0,20,0,4600,0
192.168.1.192,192.168.1.172,47872,80,6,2025-06-22 12:43:09,0.021366,165449.78002433773,561.6399887672002,327.6233267808668,234.01666198633342,7,5,707,2828,363,54,101.0,107.18342089281212,1514,60,565.6,628.7478349863322,1514,54,294.5833333333333,473.163900132807,223884.07638888896,140,100,20,1,0.0019423636363636364,0.008529,1.9e-05,0.002965019094610515,0.021366,0.008706,0.00015,0.003561,0.0033449049313844484,0.01892,0.008719,0.000158,0.00473,0.0035110846614685894,1,1,0,0,2,2,2,2,9,0,0,0.7142857142857143,294.5833333333333,64240,3784,0,0,0,0,0,0,0,0,0,0,2546.0,4.0,0,249583.3741790020586217037545,101.0,565.6,0,7,5,707,2828
192.168.1.192,192.168.1.172,47886,80,6,2025-06-22 12:43:09,0.038127,88572.40275919951,236.05319065229364,131.14066147349646,104.91252917879717,5,4,603,2774,367,54,120.6,123.4432663210108,2588,60,693.5,1093.7928277329304,2588,54,375.22222222222223,788.1826886054299,621231.950617284,100,80,20,1,0.004765875,0.013166,1.9e-05,0.00483305349746669,0.03192,0.021633,0.000285,0.00798,0.008668729837755932,0.028831,0.013166,0.007011,0.009610333333333334,0.002602170418878996,1,1,0,0,2,2,0,2,8,0,0,0.8,375.22222222222223,64240,3784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.6,693.5,0,5,4,603,2774
192.168.1.192,192.168.1.172,47890,80,6,2025-06-22 12:43:09,0.038203,88343.84734183179,235.58359291155145,130.8797738397508,104.70381907180064,5,4,601,2774,365,54,120.2,122.6448531329383,2588,60,693.5,1093.7928277329304,2588,54,375.0,788.1852574109719,621236.0,100,80,20,1,0.004775375,0.01327,6.3e-05,0.0047098476338810575,0.032936,0.021614,0.000395,0.008234,0.00845583144936085,0.028918,0.01327,0.006994,0.009639333333333333,0.002655209387014307,1,1,0,0,2,2,0,2,8,0,0,0.8,375.0,64240,3784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.2,693.5,0,5,4,601,2774
192.168.1.192,192.168.1.172,47910,80,6,2025-06-22 12:43:09,0.053267,63453.920814012425,168.96014417932304,93.86674676629058,75.09339741303246,5,4,606,2774,370,54,121.2,124.6409242584473,2588,60,693.5,1093.7928277329304,2588,54,375.55555555555554,788.1797751938902,621227.3580246913,100,80,20,1,0.006658374999999999,0.017414,9.4e-05,0.007011190019131916,0.036265000000000006,0.025864,0.00026,0.009066250000000001,0.010351336686027559,0.043992,0.017924,0.008654,0.014664000000000002,0.004254809043893744,1,1,0,0,2,2,0,2,8,0,0,0.8,375.55555555555554,64240,3784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.2,693.5,0,5,4,606,2774
192.168.1.192,192.168.1.172,47922,80,6,2025-06-22 12:43:09,0.053364,63132.448841915895,168.65302451090622,93.69612472828123,74.95689978262499,5,4,595,2774,359,54,119.0,120.24974012445931,2588,60,693.5,1093.7928277329304,2588,54,374.3333333333333,788.195971119422,621252.8888888886,100,80,20,1,0.0066705,0.017345,0.00011,0.006745053465318122,0.036932,0.025304,0.000841,0.009233,0.009873836513736694,0.044094,0.018026,0.008723,0.014698000000000001,0.004234100376703415,1,1,0,0,2,2,0,2,8,0,0,0.8,374.3333333333333,64240,3784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.0,693.5,0,5,4,595,2774
192.168.1.192,192.168.1.172,47928,80,6,2025-06-22 12:43:09,0.053423,63493.25197012523,168.4667652509219,93.59264736162328,74.87411788929862,5,4,618,2774,382,54,123.6,129.43198986340278,2588,60,693.5,1093.7928277329304,2588,54,376.8888888888889,788.1793992690361,621226.7654320988,100,80,20,1,0.006677875000000001,0.018644,0.000125,0.00655270704437296,0.039567000000000005,0.026981,0.000367,0.009891750000000001,0.010403410147038328,0.044156,0.018644,0.008654,0.014718666666666666,0.004349910752596604,1,1,0,0,2,2,0,2,8,0,0,0.8,376.8888888888889,64240,3784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.6,693.5,0,5,4,618,2774
